epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2638.1,3.21274,3.45298,3.60787,0.52588,0.3729,0.3903,0.22063,3.40896,3.67778,3.84467,0.006832,0.006832,0.006832
34,2718.15,3.12543,3.3225,3.52612,0.50284,0.37266,0.39338,0.22588,3.36219,3.57389,3.78409,0.006733,0.006733,0.006733
35,2797.99,3.11423,3.25153,3.50252,0.52355,0.38983,0.40434,0.23515,3.32654,3.51577,3.77231,0.006634,0.006634,0.006634
36,2877.88,3.09453,3.19462,3.48611,0.61316,0.3905,0.41812,0.23586,3.40807,3.52818,3.80522,0.006535,0.006535,0.006535
37,2957.73,3.06777,3.11818,3.4735,0.54341,0.3972,0.41759,0.2432,3.32521,3.44848,3.77877,0.006436,0.006436,0.006436
38,3037.6,3.0407,3.05375,3.44622,0.56711,0.39944,0.42719,0.24571,3.34343,3.41634,3.76495,0.006337,0.006337,0.006337
39,3117.58,3.00353,2.9539,3.40277,0.54795,0.39062,0.42493,0.24843,3.34003,3.40313,3.76437,0.006238,0.006238,0.006238
40,3197.31,3.01846,2.99195,3.4152,0.67328,0.39156,0.44697,0.2587,3.29851,3.33421,3.76002,0.006139,0.006139,0.006139
41,3277.13,2.96688,2.89115,3.37195,0.61774,0.42308,0.4514,0.26445,3.26278,3.2344,3.71853,0.00604,0.00604,0.00604
42,3357.34,2.94251,2.84092,3.37069,0.57451,0.43269,0.44813,0.26607,3.28693,3.28403,3.74566,0.005941,0.005941,0.005941
43,3437.04,2.92716,2.80862,3.35141,0.60833,0.41362,0.45202,0.26892,3.28074,3.25759,3.71683,0.005842,0.005842,0.005842
44,3516.92,2.89886,2.75438,3.31801,0.58449,0.43962,0.4585,0.27054,3.28024,3.20566,3.71342,0.005743,0.005743,0.005743
45,3596.52,2.88451,2.6737,3.30919,0.58173,0.45172,0.45692,0.27941,3.19463,3.1711,3.6601,0.005644,0.005644,0.005644
46,3676.43,2.88988,2.69907,3.27674,0.61125,0.4516,0.47667,0.28855,3.17374,3.13295,3.68126,0.005545,0.005545,0.005545
47,3756.43,2.8283,2.61446,3.2616,0.65097,0.43838,0.47868,0.28776,3.23567,3.10567,3.70388,0.005446,0.005446,0.005446
48,3836.17,2.80389,2.55282,3.25765,0.58509,0.45658,0.47152,0.28721,3.21073,3.11468,3.7035,0.005347,0.005347,0.005347
49,3916.02,2.79893,2.53024,3.22438,0.5851,0.44779,0.47469,0.29402,3.18216,3.03495,3.66964,0.005248,0.005248,0.005248
50,3996,2.76708,2.47706,3.2167,0.61996,0.4633,0.47833,0.29652,3.16245,3.10386,3.65272,0.005149,0.005149,0.005149
51,4075.76,2.74622,2.42228,3.20758,0.59121,0.47114,0.47721,0.29669,3.15894,3.09022,3.67898,0.00505,0.00505,0.00505
52,4155.61,2.72096,2.39402,3.19122,0.61361,0.45351,0.47106,0.29044,3.13903,3.10798,3.64875,0.004951,0.004951,0.004951
53,4235.32,2.71751,2.3874,3.15511,0.60656,0.45804,0.4741,0.29583,3.13466,3.10149,3.66713,0.004852,0.004852,0.004852
54,4315.11,2.63387,2.28332,3.10025,0.58219,0.46661,0.48471,0.3017,3.12993,3.03697,3.65362,0.004753,0.004753,0.004753
55,4395.28,2.68167,2.2882,3.13468,0.63188,0.4676,0.49501,0.31446,3.11885,2.99889,3.64809,0.004654,0.004654,0.004654
56,4475.16,2.6667,2.28623,3.1252,0.64328,0.46071,0.49129,0.31274,3.0975,3.01741,3.63715,0.004555,0.004555,0.004555
57,4554.94,2.6096,2.23016,3.06874,0.62796,0.4803,0.49745,0.31285,3.10477,3.03529,3.63697,0.004456,0.004456,0.004456
58,4634.67,2.62006,2.19025,3.07725,0.65795,0.46589,0.49621,0.3142,3.116,3.04161,3.65962,0.004357,0.004357,0.004357
59,4714.63,2.60589,2.14853,3.0447,0.64127,0.46528,0.492,0.31649,3.06451,3.01718,3.60671,0.004258,0.004258,0.004258
60,4794.5,2.57711,2.15617,3.02942,0.63082,0.47686,0.5003,0.32171,3.04525,2.91676,3.61036,0.004159,0.004159,0.004159
61,4874.64,2.5472,2.12386,3.02787,0.66365,0.46237,0.50284,0.32366,3.07153,2.94545,3.63282,0.00406,0.00406,0.00406
62,4954.35,2.53623,2.08044,2.99228,0.65995,0.47675,0.50561,0.3274,3.05629,2.96041,3.62202,0.003961,0.003961,0.003961
63,5034.29,2.48824,2.03802,2.95721,0.64457,0.50137,0.50865,0.33191,3.05857,2.95877,3.62207,0.003862,0.003862,0.003862
64,5114.33,2.48666,2.00622,2.95642,0.63572,0.48982,0.50749,0.32951,3.05235,2.96734,3.617,0.003763,0.003763,0.003763
65,5194.23,2.48251,2.0189,2.96921,0.66202,0.48059,0.50551,0.33327,3.00808,2.9585,3.60138,0.003664,0.003664,0.003664
66,5274.22,2.4299,1.97912,2.93438,0.66184,0.48819,0.50692,0.33512,3.011,3.01083,3.59577,0.003565,0.003565,0.003565
67,5354.46,2.42918,1.96182,2.91058,0.66297,0.5017,0.51098,0.33948,3.02937,2.95285,3.61195,0.003466,0.003466,0.003466
68,5434.19,2.40438,1.92258,2.90732,0.63551,0.5041,0.5122,0.34506,3.00686,2.93629,3.6061,0.003367,0.003367,0.003367
69,5513.7,2.39981,1.91419,2.89731,0.6366,0.50968,0.5133,0.34491,2.98672,2.96082,3.58596,0.003268,0.003268,0.003268
70,5593.55,2.38068,1.89792,2.89472,0.62442,0.51994,0.52074,0.34711,2.971,2.99317,3.59361,0.003169,0.003169,0.003169
71,5673.63,2.36913,1.85416,2.88144,0.63032,0.52066,0.52666,0.34811,2.98182,2.96471,3.58529,0.00307,0.00307,0.00307
72,5753.81,2.33814,1.84363,2.83417,0.654,0.52508,0.52387,0.34694,2.9906,2.95291,3.60627,0.002971,0.002971,0.002971
73,5833.59,2.35106,1.8389,2.84329,0.67067,0.50097,0.52547,0.34825,2.97419,2.93589,3.60599,0.002872,0.002872,0.002872
74,5914.03,2.32786,1.84113,2.84668,0.62841,0.52417,0.52496,0.34928,2.9796,2.97633,3.6053,0.002773,0.002773,0.002773
75,5994.05,2.28204,1.77678,2.80304,0.68633,0.48591,0.51881,0.34992,2.96251,3.0108,3.59405,0.002674,0.002674,0.002674
76,6073.1,2.25205,1.732,2.79182,0.64007,0.50802,0.51761,0.34885,2.95303,3.02864,3.59445,0.002575,0.002575,0.002575
77,6153.01,2.26649,1.73419,2.78984,0.63442,0.51877,0.52208,0.35271,2.96978,3.00471,3.6029,0.002476,0.002476,0.002476
78,6233.01,2.23878,1.71654,2.75918,0.64028,0.50926,0.51933,0.35459,2.95373,3.01053,3.59361,0.002377,0.002377,0.002377
79,6312.95,2.23203,1.72812,2.74687,0.62979,0.52247,0.51823,0.35405,2.95762,3.01294,3.60192,0.002278,0.002278,0.002278
80,6392.84,2.20996,1.67975,2.74477,0.63892,0.51534,0.51628,0.35577,2.94599,3.0396,3.61562,0.002179,0.002179,0.002179
81,6473.44,2.15968,1.64334,2.71883,0.64847,0.50224,0.51521,0.35605,2.94418,3.02135,3.62548,0.00208,0.00208,0.00208
82,6553.46,2.17504,1.64851,2.72801,0.6381,0.51824,0.51701,0.35731,2.94505,3.01043,3.63179,0.001981,0.001981,0.001981
83,6633.31,2.15872,1.64921,2.71838,0.63867,0.52293,0.51948,0.35933,2.93693,3.01015,3.62957,0.001882,0.001882,0.001882
84,6713.83,2.15257,1.63743,2.6871,0.64339,0.52098,0.51907,0.35773,2.93138,3.01857,3.62458,0.001783,0.001783,0.001783
85,6793.36,2.09708,1.57284,2.68109,0.66667,0.5088,0.52029,0.36071,2.9283,3.02382,3.62536,0.001684,0.001684,0.001684
86,6873.65,2.12719,1.59532,2.68118,0.637,0.52163,0.52549,0.36345,2.92342,3.01518,3.62195,0.001585,0.001585,0.001585
87,6953.69,2.08323,1.58527,2.66629,0.63958,0.52254,0.52252,0.36261,2.92301,3.01826,3.62486,0.001486,0.001486,0.001486
88,7033.45,2.07835,1.56879,2.64612,0.64312,0.51977,0.52297,0.36155,2.92317,3.03841,3.63119,0.001387,0.001387,0.001387
89,7113.28,2.07986,1.55678,2.62982,0.63292,0.53149,0.52536,0.36308,2.9194,3.0533,3.62825,0.001288,0.001288,0.001288
90,7193.1,2.05581,1.51702,2.61928,0.63118,0.53252,0.52546,0.36399,2.92475,3.04134,3.62887,0.001189,0.001189,0.001189
91,7273.64,1.94814,1.17475,2.60774,0.63437,0.5256,0.52315,0.36273,2.91819,3.04117,3.6261,0.00109,0.00109,0.00109
92,7352.65,1.87491,1.11177,2.54954,0.67541,0.50728,0.52401,0.36513,2.91235,3.03231,3.61849,0.000991,0.000991,0.000991
93,7432.43,1.82791,1.09138,2.53078,0.63042,0.53223,0.52658,0.36643,2.90929,3.0422,3.61537,0.000892,0.000892,0.000892
94,7512.79,1.80085,1.05391,2.51483,0.63056,0.52943,0.52758,0.36707,2.90984,3.0416,3.61705,0.000793,0.000793,0.000793
95,7592.69,1.76412,1.03885,2.4699,0.62384,0.53701,0.52679,0.36742,2.90329,3.05016,3.61136,0.000694,0.000694,0.000694
96,7671.99,1.73948,1.02031,2.44431,0.62458,0.53392,0.53019,0.36879,2.89756,3.06069,3.6089,0.000595,0.000595,0.000595
97,7751.86,1.71924,1.02093,2.43273,0.64426,0.52236,0.5287,0.36866,2.8845,3.07836,3.60287,0.000496,0.000496,0.000496
98,7831.31,1.70321,1.00001,2.43447,0.69531,0.49295,0.52389,0.36804,2.88129,3.08857,3.60952,0.000397,0.000397,0.000397
99,7910.4,1.64612,0.94427,2.3857,0.6917,0.49099,0.52349,0.36763,2.88495,3.09067,3.61749,0.000298,0.000298,0.000298
100,7989.79,1.65984,0.97304,2.39429,0.68459,0.49505,0.52396,0.36914,2.87724,3.11351,3.61461,0.000199,0.000199,0.000199
