epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9244,6.9766,14.2401,8.58055,0.0007,0.03196,0.0004,0.00012,6.79309,10.7501,8.36311,0.00331019,0.00331019,0.00331019
2,163.652,7.05526,12.6855,8.41346,0.00058,0.01323,0.00038,0.00014,7.11925,9.84029,19.3019,0.00657775,0.00657775,0.00657775
3,243.577,5.64786,8.32428,6.5149,0.0102,0.03399,0.00475,0.00118,5.09573,18.8198,6.05652,0.00977931,0.00977931,0.00977931
4,323.232,4.63981,7.35574,5.21118,0.36375,0.0303,0.01285,0.0046,4.89433,8.67258,5.56516,0.009703,0.009703,0.009703
5,403.081,4.38354,6.91775,4.91633,0.42044,0.05324,0.03397,0.01274,4.52392,7.14888,5.08718,0.009604,0.009604,0.009604
6,483.132,4.26722,6.59474,4.74132,0.2257,0.07454,0.0445,0.01614,4.53586,6.91671,4.95626,0.009505,0.009505,0.009505
7,562.471,4.15617,6.36903,4.63281,0.26011,0.12028,0.07959,0.03251,4.25305,6.197,4.74373,0.009406,0.009406,0.009406
8,642.266,4.081,6.21,4.53324,0.12599,0.11843,0.08495,0.03461,4.27487,6.04012,4.68197,0.009307,0.009307,0.009307
9,722.535,4.02107,5.98521,4.46197,0.27268,0.14735,0.11221,0.04372,4.1873,5.81451,4.64703,0.009208,0.009208,0.009208
10,802.185,3.99516,5.85252,4.42586,0.2505,0.15175,0.10855,0.04394,4.08264,5.90244,4.51545,0.009109,0.009109,0.009109
11,881.388,3.90276,5.66681,4.30792,0.25338,0.16247,0.12818,0.05571,4.12642,5.48776,4.58871,0.00901,0.00901,0.00901
12,960.904,3.86613,5.53896,4.28582,0.25074,0.18957,0.14182,0.05942,4.07517,5.4727,4.48118,0.008911,0.008911,0.008911
13,1040.99,3.83468,5.389,4.25962,0.25761,0.19528,0.14766,0.06398,4.00586,5.27638,4.41425,0.008812,0.008812,0.008812
14,1120.81,3.81148,5.28686,4.20717,0.28374,0.21606,0.16448,0.07672,3.92084,5.21445,4.34319,0.008713,0.008713,0.008713
15,1200.65,3.77026,5.15857,4.12606,0.35549,0.20454,0.17674,0.07948,3.94403,5.08246,4.36943,0.008614,0.008614,0.008614
16,1280.87,3.71951,5.01027,4.12001,0.30152,0.23002,0.18991,0.08721,3.88254,4.93905,4.31177,0.008515,0.008515,0.008515
17,1360.63,3.67888,4.87908,4.08173,0.34083,0.24736,0.20467,0.09795,3.85845,4.89298,4.31245,0.008416,0.008416,0.008416
18,1440.31,3.64335,4.83009,4.04526,0.35646,0.24263,0.22318,0.10808,3.84815,4.69649,4.29054,0.008317,0.008317,0.008317
19,1520.34,3.61787,4.7136,4.02321,0.36526,0.25841,0.23841,0.11545,3.7782,4.65274,4.23856,0.008218,0.008218,0.008218
20,1600.29,3.57067,4.58029,3.96333,0.39322,0.27654,0.26404,0.13332,3.70369,4.39443,4.16173,0.008119,0.008119,0.008119
21,1679.82,3.57463,4.52321,3.95622,0.40149,0.29466,0.27894,0.13697,3.7074,4.34098,4.14885,0.00802,0.00802,0.00802
22,1759.98,3.46578,4.30519,3.87382,0.37081,0.29805,0.28002,0.14415,3.64084,4.36381,4.0659,0.007921,0.007921,0.007921
23,1839.66,3.4602,4.26832,3.8444,0.40626,0.31831,0.28505,0.14532,3.6368,4.20294,4.02978,0.007822,0.007822,0.007822
24,1919.49,3.41062,4.12655,3.78722,0.41479,0.32195,0.31001,0.16484,3.56544,4.12011,3.9939,0.007723,0.007723,0.007723
25,1998.97,3.38331,4.02166,3.77461,0.45569,0.31633,0.3168,0.17136,3.59006,4.11563,4.02257,0.007624,0.007624,0.007624
26,2079,3.36471,3.95964,3.76085,0.46988,0.32462,0.33075,0.17917,3.59371,4.03028,4.0246,0.007525,0.007525,0.007525
27,2158.89,3.33195,3.86952,3.73524,0.41813,0.34064,0.32817,0.17563,3.57633,3.99915,3.96497,0.007426,0.007426,0.007426
28,2238.7,3.28645,3.79356,3.7131,0.53616,0.33402,0.35509,0.19833,3.49106,3.83275,3.91362,0.007327,0.007327,0.007327
29,2318.62,3.30232,3.71248,3.68968,0.50084,0.36325,0.36888,0.20071,3.49489,3.766,3.935,0.007228,0.007228,0.007228
30,2398.7,3.26291,3.61463,3.64695,0.49363,0.35474,0.36977,0.20068,3.50556,3.74612,3.93132,0.007129,0.007129,0.007129
31,2478.33,3.22835,3.56282,3.64766,0.55798,0.37514,0.39472,0.21873,3.42338,3.63392,3.84282,0.00703,0.00703,0.00703
32,2558.63,3.20842,3.5112,3.59727,0.52319,0.37303,0.38903,0.22043,3.39118,3.64705,3.80891,0.006931,0.006931,0.006931
