epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,921.17,1.91615,2.26752,1.98919,0.35485,0.29433,0.27675,0.13449,1.95019,2.14913,2.05179,0.008317,0.008317,0.008317
19,972.059,1.90112,2.22053,1.96833,0.37754,0.30165,0.27931,0.13971,1.93077,2.07495,1.99797,0.008218,0.008218,0.008218
20,1022.64,1.8985,2.18887,1.94976,0.34881,0.31691,0.27602,0.13861,1.92551,2.10471,1.98542,0.008119,0.008119,0.008119
21,1071.73,1.89509,2.17499,1.94576,0.43291,0.30993,0.30024,0.15147,1.92212,2.05746,1.96309,0.00802,0.00802,0.00802
22,1121.89,1.88155,2.15104,1.9411,0.43826,0.31321,0.29726,0.14647,1.93864,2.09455,2.00392,0.007921,0.007921,0.007921
23,1171.66,1.87235,2.1247,1.9251,0.40067,0.33317,0.30849,0.15361,1.89456,1.98173,1.96288,0.007822,0.007822,0.007822
24,1222.48,1.86425,2.10401,1.92084,0.42048,0.31116,0.30438,0.15721,1.88782,2.03827,1.93746,0.007723,0.007723,0.007723
25,1273.27,1.85992,2.07488,1.90728,0.37414,0.32439,0.30047,0.15648,1.86393,1.99859,1.93702,0.007624,0.007624,0.007624
26,1324.02,1.84262,2.08375,1.90696,0.43313,0.34048,0.32962,0.16963,1.87979,1.9691,1.9452,0.007525,0.007525,0.007525
27,1375.01,1.83932,2.03717,1.89082,0.41446,0.3421,0.32882,0.17348,1.8617,1.91104,1.92773,0.007426,0.007426,0.007426
28,1425.35,1.8341,2.02082,1.88384,0.4278,0.33624,0.32354,0.1677,1.86243,1.97927,1.91592,0.007327,0.007327,0.007327
29,1475.97,1.81899,1.99044,1.8721,0.46654,0.34829,0.35112,0.18096,1.84508,1.88986,1.91429,0.007228,0.007228,0.007228
30,1526.58,1.81811,1.99117,1.87395,0.48629,0.34701,0.35586,0.18609,1.83326,1.87878,1.90053,0.007129,0.007129,0.007129
31,1577.25,1.7944,1.93531,1.84223,0.50925,0.34922,0.36826,0.19249,1.81164,1.87658,1.8787,0.00703,0.00703,0.00703
32,1628.37,1.79564,1.93298,1.84663,0.48606,0.35898,0.36839,0.1935,1.82713,1.87073,1.89571,0.006931,0.006931,0.006931
33,1678.95,1.79342,1.91908,1.84039,0.47011,0.35026,0.36669,0.19583,1.81948,1.82725,1.88271,0.006832,0.006832,0.006832
34,1729.57,1.77622,1.89576,1.83425,0.50295,0.3643,0.37353,0.20191,1.78664,1.79427,1.87807,0.006733,0.006733,0.006733
35,1780.75,1.76954,1.88257,1.82951,0.5392,0.34878,0.3748,0.19995,1.80135,1.8255,1.88219,0.006634,0.006634,0.006634
36,1831.05,1.7635,1.85866,1.82102,0.5027,0.36635,0.38115,0.20778,1.7976,1.7705,1.89171,0.006535,0.006535,0.006535
37,1882.3,1.74873,1.82132,1.80418,0.47868,0.36809,0.38322,0.20719,1.79394,1.79199,1.86786,0.006436,0.006436,0.006436
38,1932.64,1.75644,1.82015,1.80426,0.50291,0.37532,0.39476,0.21225,1.79142,1.75937,1.86788,0.006337,0.006337,0.006337
39,1983.86,1.74455,1.81402,1.7981,0.51163,0.3826,0.41005,0.21695,1.77639,1.75623,1.85651,0.006238,0.006238,0.006238
40,2033.85,1.7333,1.77605,1.78907,0.4944,0.39763,0.40565,0.21786,1.76806,1.7228,1.84507,0.006139,0.006139,0.006139
41,2084.79,1.72514,1.76658,1.77757,0.5276,0.39278,0.40842,0.22067,1.76473,1.73491,1.8491,0.00604,0.00604,0.00604
42,2135.72,1.71594,1.76656,1.77663,0.56238,0.38303,0.40587,0.22241,1.77402,1.71548,1.84731,0.005941,0.005941,0.005941
43,2186.95,1.71536,1.743,1.76364,0.54355,0.39804,0.415,0.22675,1.76046,1.69807,1.83683,0.005842,0.005842,0.005842
44,2237.93,1.70708,1.73741,1.76662,0.54095,0.38472,0.40924,0.22687,1.75039,1.70042,1.84202,0.005743,0.005743,0.005743
45,2289.04,1.70178,1.71436,1.76266,0.54261,0.4003,0.43364,0.23569,1.74077,1.65923,1.82705,0.005644,0.005644,0.005644
46,2339.65,1.69496,1.70279,1.74904,0.56205,0.39902,0.42132,0.23517,1.73157,1.66934,1.8164,0.005545,0.005545,0.005545
47,2390.32,1.68304,1.67702,1.73628,0.54511,0.40714,0.42666,0.23392,1.7226,1.6667,1.80332,0.005446,0.005446,0.005446
48,2440.91,1.68209,1.66041,1.73023,0.55826,0.40984,0.43398,0.24028,1.71749,1.64368,1.79509,0.005347,0.005347,0.005347
49,2492.96,1.67587,1.6579,1.72561,0.57565,0.41463,0.4457,0.24127,1.71989,1.62658,1.79768,0.005248,0.005248,0.005248
50,2543.82,1.66459,1.65017,1.72,0.50607,0.42756,0.42923,0.23968,1.724,1.62115,1.80231,0.005149,0.005149,0.005149
51,2594.55,1.65212,1.6214,1.71308,0.56157,0.4159,0.44118,0.24659,1.71045,1.6082,1.80042,0.00505,0.00505,0.00505
52,2645.33,1.65399,1.61314,1.71256,0.5239,0.42195,0.43666,0.24435,1.72498,1.61167,1.80675,0.004951,0.004951,0.004951
53,2696.5,1.6433,1.58515,1.69624,0.55661,0.41137,0.44016,0.24737,1.72373,1.61444,1.80436,0.004852,0.004852,0.004852
54,2746.55,1.63463,1.58429,1.69468,0.54444,0.41974,0.44957,0.25043,1.71285,1.60962,1.79249,0.004753,0.004753,0.004753
55,2797.82,1.62146,1.55902,1.68285,0.55678,0.41878,0.44895,0.24882,1.73088,1.60063,1.80666,0.004654,0.004654,0.004654
56,2848.3,1.62532,1.56812,1.68166,0.58566,0.41682,0.45265,0.25106,1.71925,1.5923,1.79198,0.004555,0.004555,0.004555
57,2899.2,1.61105,1.55096,1.6753,0.58111,0.41536,0.44575,0.25338,1.71333,1.58177,1.79041,0.004456,0.004456,0.004456
58,2949.73,1.60451,1.52011,1.66185,0.58225,0.41273,0.45104,0.2545,1.70889,1.59628,1.79021,0.004357,0.004357,0.004357
59,3000.02,1.61085,1.53125,1.67016,0.5383,0.43755,0.45412,0.25791,1.69996,1.57901,1.78253,0.004258,0.004258,0.004258
60,3051.42,1.59975,1.51267,1.65452,0.56868,0.42955,0.45604,0.25877,1.69296,1.57148,1.78167,0.004159,0.004159,0.004159
61,3102.17,1.59005,1.4957,1.65683,0.55801,0.43254,0.45424,0.25619,1.68895,1.56916,1.77708,0.00406,0.00406,0.00406
62,3152.97,1.58588,1.48491,1.64752,0.57422,0.43297,0.45455,0.25601,1.6836,1.56634,1.76429,0.003961,0.003961,0.003961
63,3204.2,1.57336,1.47339,1.63975,0.57968,0.44055,0.46272,0.26405,1.68088,1.55296,1.77125,0.003862,0.003862,0.003862
64,3254.84,1.57915,1.45982,1.64103,0.55575,0.45264,0.46377,0.26469,1.68111,1.56622,1.77314,0.003763,0.003763,0.003763
65,3305.63,1.56188,1.44819,1.62782,0.58232,0.45217,0.46966,0.26718,1.68081,1.55893,1.77565,0.003664,0.003664,0.003664
66,3356.83,1.55113,1.43054,1.6226,0.58231,0.45557,0.47075,0.26784,1.6696,1.5424,1.76721,0.003565,0.003565,0.003565
67,3407.7,1.55359,1.42963,1.62395,0.58637,0.44443,0.47274,0.27161,1.66143,1.55005,1.76214,0.003466,0.003466,0.003466
68,3458.03,1.53611,1.40505,1.61177,0.58907,0.44516,0.46825,0.27056,1.65923,1.54873,1.75904,0.003367,0.003367,0.003367
69,3508.74,1.54471,1.40614,1.61182,0.57678,0.44893,0.4714,0.26784,1.67399,1.55363,1.76648,0.003268,0.003268,0.003268
70,3560.18,1.55205,1.41242,1.62303,0.56588,0.45058,0.47436,0.26976,1.66319,1.55022,1.75772,0.003169,0.003169,0.003169
71,3610.75,1.53553,1.38981,1.60923,0.58902,0.43249,0.46792,0.27038,1.66189,1.54116,1.76052,0.00307,0.00307,0.00307
72,3661.08,1.5254,1.37999,1.59277,0.60113,0.43532,0.46946,0.2697,1.66262,1.53257,1.76185,0.002971,0.002971,0.002971
73,3711.64,1.5223,1.36537,1.59551,0.61964,0.43392,0.46835,0.271,1.64596,1.53183,1.7516,0.002872,0.002872,0.002872
74,3762.38,1.51806,1.36637,1.58489,0.60901,0.43395,0.46923,0.27152,1.65037,1.53214,1.75449,0.002773,0.002773,0.002773
75,3813.5,1.50406,1.35161,1.58032,0.63578,0.42152,0.4669,0.27094,1.65701,1.53411,1.75958,0.002674,0.002674,0.002674
76,3864.79,1.50373,1.32884,1.57483,0.64534,0.4208,0.4662,0.27013,1.653,1.53328,1.75291,0.002575,0.002575,0.002575
77,3915.8,1.49229,1.32516,1.56814,0.60289,0.44515,0.47103,0.27094,1.65298,1.53413,1.75223,0.002476,0.002476,0.002476
78,3967.41,1.49128,1.32019,1.56556,0.59622,0.4417,0.46978,0.27283,1.65569,1.52853,1.75411,0.002377,0.002377,0.002377
79,4018.45,1.48204,1.31209,1.5659,0.59167,0.45095,0.47543,0.27604,1.65005,1.52425,1.75065,0.002278,0.002278,0.002278
80,4069.5,1.4791,1.29664,1.56032,0.61455,0.44538,0.47061,0.27554,1.64697,1.52643,1.74836,0.002179,0.002179,0.002179
81,4120.87,1.46845,1.27829,1.55119,0.60002,0.45653,0.47624,0.27817,1.63971,1.52704,1.74153,0.00208,0.00208,0.00208
82,4172.71,1.4734,1.28135,1.54809,0.61871,0.45419,0.47875,0.27949,1.63789,1.52604,1.74055,0.001981,0.001981,0.001981
83,4225.24,1.45451,1.25946,1.53685,0.61068,0.45753,0.48246,0.27958,1.64233,1.52408,1.74265,0.001882,0.001882,0.001882
84,4277.1,1.45501,1.26396,1.53502,0.6098,0.45139,0.47965,0.28046,1.64239,1.51893,1.74145,0.001783,0.001783,0.001783
85,4328.72,1.45348,1.26469,1.53625,0.61402,0.45206,0.48028,0.28266,1.64307,1.52137,1.74103,0.001684,0.001684,0.001684
86,4380.43,1.44365,1.24204,1.52876,0.62155,0.45471,0.48342,0.28265,1.64318,1.51802,1.74215,0.001585,0.001585,0.001585
87,4431.24,1.43305,1.2408,1.52162,0.61199,0.4567,0.48073,0.28268,1.64291,1.51863,1.74257,0.001486,0.001486,0.001486
88,4482.97,1.43563,1.22479,1.52297,0.62766,0.4524,0.481,0.28302,1.64402,1.51879,1.74245,0.001387,0.001387,0.001387
89,4534.09,1.43077,1.22806,1.5239,0.6368,0.4532,0.48268,0.28348,1.64066,1.51558,1.73878,0.001288,0.001288,0.001288
90,4586.42,1.42583,1.22098,1.51653,0.64238,0.45167,0.48371,0.28529,1.64093,1.51709,1.74068,0.001189,0.001189,0.001189
91,4638.88,1.36669,1.07155,1.50664,0.63553,0.45395,0.48251,0.28369,1.63965,1.51171,1.74112,0.00109,0.00109,0.00109
92,4689.83,1.34364,1.03327,1.49067,0.63466,0.45311,0.48215,0.28361,1.64014,1.50704,1.74412,0.000991,0.000991,0.000991
93,4740.53,1.32655,1.01751,1.48,0.6358,0.45632,0.48323,0.28516,1.63852,1.5057,1.7442,0.000892,0.000892,0.000892
94,4791.81,1.31483,0.99276,1.46358,0.63549,0.45667,0.48433,0.28482,1.63774,1.50767,1.74448,0.000793,0.000793,0.000793
95,4842.29,1.31137,0.98665,1.46646,0.64297,0.45441,0.48413,0.28588,1.63575,1.50607,1.74308,0.000694,0.000694,0.000694
96,4893.14,1.29844,0.96767,1.45067,0.63835,0.45623,0.48477,0.28609,1.63516,1.50492,1.74237,0.000595,0.000595,0.000595
97,4944.23,1.29502,0.96567,1.44956,0.63986,0.45699,0.48498,0.2866,1.63503,1.50521,1.74383,0.000496,0.000496,0.000496
98,4994.93,1.28309,0.95591,1.44162,0.6435,0.45577,0.48575,0.28749,1.63285,1.50284,1.74232,0.000397,0.000397,0.000397
99,5045.97,1.27513,0.94133,1.4355,0.64858,0.45679,0.48552,0.28818,1.63201,1.50354,1.74182,0.000298,0.000298,0.000298
100,5096.21,1.2755,0.94913,1.43561,0.64862,0.45485,0.4863,0.28831,1.63209,1.50368,1.74226,0.000199,0.000199,0.000199
