epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.108,2.07433,2.63244,2.1621,0.36434,0.19805,0.18912,0.08249,2.09503,2.54348,2.19084,0.00332755,0.00332755,0.00332755
2,110.209,2.04427,2.59165,2.13456,0.34625,0.18363,0.17157,0.07478,2.13151,2.65659,2.20737,0.00659494,0.00659494,0.00659494
3,161.407,2.06613,2.62561,2.14306,0.24952,0.19401,0.12915,0.05204,2.13827,2.69823,2.20757,0.00979633,0.00979633,0.00979633
4,212.089,2.08271,2.6839,2.16107,0.26067,0.17995,0.14595,0.06619,2.14743,2.66708,2.19703,0.009703,0.009703,0.009703
5,262.818,2.07476,2.6556,2.14097,0.34426,0.17582,0.14609,0.0602,2.17358,2.60204,2.26965,0.009604,0.009604,0.009604
6,313.395,2.0544,2.59708,2.1236,0.25276,0.17144,0.15605,0.06912,2.15644,2.60027,2.23814,0.009505,0.009505,0.009505
7,364.504,2.04827,2.55787,2.10817,0.27601,0.20919,0.18949,0.08068,2.12032,2.44756,2.14611,0.009406,0.009406,0.009406
8,414.905,2.03559,2.52729,2.09188,0.31722,0.21357,0.19421,0.08756,2.08745,2.52426,2.11405,0.009307,0.009307,0.009307
9,465.32,2.0208,2.49836,2.08323,0.26692,0.25192,0.20492,0.08713,2.13186,2.36226,2.16881,0.009208,0.009208,0.009208
10,516.104,2.01035,2.47152,2.07067,0.28833,0.23364,0.20577,0.09663,2.01188,2.35135,2.08863,0.009109,0.009109,0.009109
11,565.736,2.00538,2.45027,2.06261,0.29026,0.24453,0.2007,0.08838,2.06923,2.37242,2.13457,0.00901,0.00901,0.00901
12,614.864,1.98614,2.42352,2.04364,0.33787,0.23931,0.22632,0.10017,2.05476,2.31012,2.11857,0.008911,0.008911,0.008911
13,665.849,1.9806,2.37939,2.02606,0.27459,0.26189,0.2155,0.10189,2.03319,2.29773,2.06608,0.008812,0.008812,0.008812
14,717.086,1.95928,2.35718,2.01412,0.37908,0.2674,0.24294,0.11069,2.01349,2.24187,2.08102,0.008713,0.008713,0.008713
15,767.882,1.94984,2.32683,2.00747,0.3393,0.28085,0.25017,0.11781,2.0072,2.21465,2.05793,0.008614,0.008614,0.008614
16,819.072,1.94814,2.31709,2.00405,0.35435,0.26552,0.24035,0.1165,1.99724,2.22167,2.06396,0.008515,0.008515,0.008515
17,870.013,1.93653,2.29077,1.9953,0.36076,0.29378,0.26522,0.1272,1.94516,2.15439,1.99995,0.008416,0.008416,0.008416
